Country Name,Country Code,Indicator Name,Indicator Code,Ano,Valor
Brazil,BRA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2005,2.445209201231661
Brazil,BRA,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2005,3.395255475358097
China,CHN,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2005,79.19611784363396
China,CHN,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2005,15.877720392918759
China,CHN,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2005,0.4855894861197873
China,CHN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2005,2.123124249639867
China,CHN,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2005,0.29730458242583585
India,IND,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2005,66.85963647338944
India,IND,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2005,15.07847345652101
India,IND,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2005,10.54515018388723
India,IND,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2005,2.420716098237142
India,IND,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2005,1.5405446192025218
Russian Federation,RUS,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2005,17.295425896196114
Russian Federation,RUS,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2005,18.154377974660388
Russian Federation,RUS,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2005,46.18702025633989
Russian Federation,RUS,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2005,15.71198926783009
Russian Federation,RUS,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2005,0.048151781142795266
South Africa,ZAF,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2005,94.63716923839624
South Africa,ZAF,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2005,0.5502881576501208
South Africa,ZAF,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2005,0.0
South Africa,ZAF,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2005,4.66546859184896
South Africa,ZAF,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2005,0.11484993080085105
Brazil,BRA,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2006,2.5039526681404216
Brazil,BRA,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2006,83.18011527721141
Brazil,BRA,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2006,4.354015982372173
Brazil,BRA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2006,3.2799395235812727
Brazil,BRA,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2006,3.5675363728934006
China,CHN,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2006,80.33949602819864
China,CHN,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2006,15.2056173965109
China,CHN,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2006,0.8311019646512121
China,CHN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2006,1.9136036377415688
China,CHN,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2006,0.3871660187148852
India,IND,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2006,66.68824891701043
India,IND,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2006,15.556279271734747
India,IND,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2006,10.256609079536409
India,IND,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2006,2.429877071637563
India,IND,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2006,1.9841454462744126
Russian Federation,RUS,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2006,17.897803021537133
Russian Federation,RUS,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2006,17.442308563034214
Russian Federation,RUS,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2006,46.057462532637736
Russian Federation,RUS,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2006,15.740165917906355
Russian Federation,RUS,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2006,0.05151605097271762
South Africa,ZAF,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2006,94.71080442174838
South Africa,ZAF,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2006,1.1552674695337073
South Africa,ZAF,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2006,0.0
South Africa,ZAF,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2006,3.9967949101259315
South Africa,ZAF,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2006,0.11241733140390112
Brazil,BRA,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2007,2.2684641253338786
Brazil,BRA,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2007,84.02055950056948
Brazil,BRA,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2007,3.481097255513347
Brazil,BRA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2007,2.774364423437651
Brazil,BRA,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2007,4.194120144581452
China,CHN,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2007,80.95423534107911
China,CHN,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2007,14.786564649170117
China,CHN,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2007,1.0331861575542616
China,CHN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2007,1.8931741519109997
China,CHN,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2007,0.47678248760584924
India,IND,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2007,65.4820578389267
India,IND,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2007,15.525709629985807
India,IND,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2007,11.571792321898872
India,IND,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2007,2.058980308731694
India,IND,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2007,2.3383760562337064
Russian Federation,RUS,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2007,16.689181655004592
Russian Federation,RUS,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2007,17.470709957282374
Russian Federation,RUS,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2007,48.02777583163196
Russian Federation,RUS,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2007,15.792298985888086
Russian Federation,RUS,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2007,0.04993097486774706
South Africa,ZAF,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2007,94.7700575815739
South Africa,ZAF,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2007,0.33320537428023034
South Africa,ZAF,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2007,0.0
South Africa,ZAF,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2007,4.344337811900192
South Africa,ZAF,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2007,0.10978886756238004
Brazil,BRA,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2008,2.60782996844949
Brazil,BRA,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2008,79.80616195928451
Brazil,BRA,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2008,6.214651443527611
Brazil,BRA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2008,3.016626103781958
Brazil,BRA,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2008,4.4602616899930245
China,CHN,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2008,78.7505137453006
China,CHN,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2008,16.877870664530448
China,CHN,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2008,0.9969470910839773
China,CHN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2008,1.972608903188033
China,CHN,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2008,0.859573400323317
India,IND,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2008,68.44469591149931
India,IND,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2008,13.768174879619972
India,IND,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2008,10.243706938722587
India,IND,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2008,1.759522841263386
India,IND,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2008,2.741658857435861
Russian Federation,RUS,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2008,18.902170678648847
Russian Federation,RUS,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2008,15.866533260274396
Russian Federation,RUS,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2008,47.640719508566285
Russian Federation,RUS,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2008,15.704943323148097
Russian Federation,RUS,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2008,0.047571769332772226
South Africa,ZAF,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2008,94.26696253507568
South Africa,ZAF,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2008,0.47080647623073035
South Africa,ZAF,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2008,0.0
South Africa,ZAF,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2008,5.089249723112567
South Africa,ZAF,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2008,0.1170167384812871
Brazil,BRA,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2009,2.0985967163032777
Brazil,BRA,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2009,83.8812239740325
Brazil,BRA,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2009,2.86020153565276
Brazil,BRA,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2009,2.7797503223411946
Brazil,BRA,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2009,5.114551800927227
China,CHN,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2009,78.38266989424937
China,CHN,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2009,16.571464102473687
China,CHN,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2009,1.5393556121958698
China,CHN,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2009,1.8878290289176949
China,CHN,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2009,1.29233409626383
India,IND,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2009,66.96802143677873
India,IND,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2009,12.33356081203355
India,IND,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2009,12.65799049822196
India,IND,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2009,2.0316100913330617
India,IND,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2009,3.3264944369466107
Russian Federation,RUS,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2009,16.52965269255438
Russian Federation,RUS,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2009,17.5934427223005
Russian Federation,RUS,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,2009,47.37501830724866
Russian Federation,RUS,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,2009,16.52288532339439
Russian Federation,RUS,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,2009,0.050603760435131734
South Africa,ZAF,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2009,94.09800862994551
South Africa,ZAF,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,2009,0.5672264651662177
